/begin_header
/start_date=1997-01-01
/end_date=2019-07-19
/north_latitude=48[deg]
/south_latitude=32[deg]
/east_longitude=-60[deg]
/west_longitude=-80[deg]
! Date processed: 2019-07-19 17:56:40 GMT
! Date archived: 2000-01-01 to 2019-07-19
! Water depth: 0.0 to 10000
! Data source: seabass
! Exclusions:
!                                                             , VIIRS-SNPP          
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  75 
!  Maximum satellite zenith angle                             ,                  60 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                  20 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2019-06-27 17:39:43 
! Statistics:
!  Product Name , #   , Mean Bias , Mean Absolute Percent , Mean Absolute Error (MAE) , VIIRS-SNPP Range    , In situ Range       
!  chlor_a      , 128 ,   1.13114 , NaN                   ,                   1.42455 , 0.164524 - 47.68464 , 0.201000 - 22.88572 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,viirs_filename,viirs_es_error,viirs_pixel_total,viirs_tdiff,viirs_solz,viirs_senz,viirs_cv,viirs_windspeed,viirs_chlor_a,insitu_chlor_a_type,insitu_chlor_a,viirs_rrs410,viirs_rrs443,viirs_rrs486,viirs_rrs551,viirs_rrs671
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,mg*m^-3,unitless,mg*m^-3,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1
/end_header
470229,37.79652000,-75.84438000,2012-11-29 20:15:00,cbp06,V2012334174800.L2_SNPP.R0000028718_37N_37N_76W_75W_OCVAL.nc_4551_470229_B5.tgz,0.00000000,25,-8555,61.10,11.34,0.108,1.935,6.98767100,chl,5.49257000,0.00208000,0.00275100,0.00407500,0.00667400,0.00258100
470301,38.55630000,-76.41470000,2012-12-03 15:52:00,cbp06,V2012338181200.L2_SNPP.R0000028718_38N_37N_76W_76W_OCVAL.nc_4551_470301_B5.tgz,0.00000000,25,8747,63.76,26.75,0.071,1.219,5.91992500,chl,16.42100000,0.00138100,0.00131500,0.00140800,0.00221000,0.00096600
471051,38.82593000,-76.39945000,2013-02-12 15:07:00,cbp06,V2013043174200.L2_SNPP.R0000028718_39N_38N_76W_76W_OCVAL.nc_4551_471051_B5.tgz,0.00000000,25,9589,52.66,21.98,0.051,3.954,13.09640700,chl,16.87400000,0.00142000,0.00220700,0.00327500,0.00660500,0.00307700
474003,37.58847000,-76.16216000,2013-06-24 20:01:00,cbp06,V2013175181200.L2_SNPP.R0000028718_38N_37N_76W_76W_OCVAL.nc_4551_474003_B5.tgz,0.00000000,25,-6489,19.99,17.74,0.041,3.924,12.32361200,chl,12.28200000,0.00137500,0.00205400,0.00303200,0.00601000,0.00208500
474429,38.13705000,-76.22787000,2013-07-15 15:38:00,cbp06,V2013196181800.L2_SNPP.R0000028718_38N_37N_76W_75W_OCVAL.nc_4551_474429_B5.tgz,0.00000000,25,9670,22.27,26.99,0.068,1.198,10.18212600,chl,6.54100000,0.00129200,0.00164000,0.00229200,0.00428700,0.00157400
474465,37.41153000,-76.15966000,2013-07-15 18:19:00,cbp06,V2013196181800.L2_SNPP.R0000028718_38N_37N_76W_75W_OCVAL.nc_4551_474465_B5.tgz,0.00000000,25,-2,21.78,26.30,0.041,0.461,9.83677900,chl,8.90000000,0.00190500,0.00231900,0.00312600,0.00578200,0.00216800
474471,37.48680000,-76.15633000,2013-07-15 18:51:00,cbp06,V2013196181800.L2_SNPP.R0000028718_38N_37N_76W_75W_OCVAL.nc_4551_474471_B5.tgz,0.00000000,25,-1922,21.83,26.43,0.051,0.560,10.27837000,chl,9.07800000,0.00209200,0.00250200,0.00325300,0.00599300,0.00228000
474477,37.58847000,-76.16216000,2013-07-15 19:29:00,cbp06,V2013196181800.L2_SNPP.R0000028718_38N_37N_76W_75W_OCVAL.nc_4551_474477_B5.tgz,0.00000000,25,-4201,21.90,26.56,0.042,0.719,9.52602600,chl,7.47600000,0.00181000,0.00192400,0.00239900,0.00441000,0.00154300
476031,38.64498000,-76.40131000,2013-09-17 15:41:00,cbp06,V2013260181800.L2_SNPP.R0000028718_39N_37N_76W_75W_OCVAL.nc_4551_476031_B5.tgz,0.00000000,25,9576,41.03,27.48,0.077,2.691,23.71757300,chl,7.15600000,-0.00059200,0.00018200,0.00108300,0.00258700,0.00110200
476181,37.77513000,-75.97466000,2013-09-18 18:11:00,cbp06,V2013261180000.L2_SNPP.R0000028718_38N_37N_76W_75W_OCVAL.nc_4551_476181_B5.tgz,0.00000000,25,-569,39.02,1.16,0.073,1.999,6.37039400,chl,5.45867000,0.00321800,0.00360900,0.00502600,0.00809400,0.00313100
