/begin_header
/start_date=1997-01-01
/end_date=2019-07-19
/north_latitude=48[deg]
/south_latitude=32[deg]
/east_longitude=-60[deg]
/west_longitude=-80[deg]
! Date processed: 2019-07-19 17:52:24 GMT
! Date archived: 2000-01-01 to 2019-07-19
! Water depth: 0.0 to 10000
! Data source: seabass
! Exclusions:
!                                                             , SeaWiFS             
!  Minimum valid satellite pixels                             ,                  50 
!  Maximum solar zenith angle                                 ,                  75 
!  Maximum satellite zenith angle                             ,                  60 
!  Maximum time difference between satellite and in situ      ,                   3 
!  Maximum coefficient of variation of satellite pixels       ,                0.15 
!  Maximum irradiance difference between measured and modeled ,                  20 
!  Maximum windspeed                                          ,                  35 
!  Most Data Recent Update                                    , 2018-05-03 20:21:26 
! Statistics:
!  Product Name , #    , Mean Bias , Mean Absolute Percent , Mean Absolute Error (MAE) , SeaWiFS Range        , In situ Range       
!  chlor_a      , 1076 ,   1.01648 , NaN                   ,                   1.62156 , 0.039504 - 180.86721 , 0.024000 - 90.33500 
/missing=-999
/delimiter=comma
/fields=id,latitude,longitude,date_time,cruise,seawifs_filename,seawifs_es_error,seawifs_pixel_total,seawifs_tdiff,seawifs_solz,seawifs_senz,seawifs_cv,seawifs_windspeed,seawifs_chlor_a,insitu_chlor_a_type,insitu_chlor_a,seawifs_rrs412,seawifs_rrs443,seawifs_rrs490,seawifs_rrs510,seawifs_rrs555,seawifs_rrs670
/units=none,degrees,degrees,yyyy-mm-dd hh:mm:ss,none,none,unitless,unitless,seconds,degrees,degrees,unitless,m*s^-1,mg*m^-3,unitless,mg*m^-3,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1,sr^-1
/end_header
5025,32.14230000,-64.00730000,2002-09-18 14:38:00,bats168,S2002261163628.L2_MLAC.R0000020459_32N_32N_64W_64W.hdf_OCVAL.nc_bats168_5025_B5.tgz,0.00000000,25,7949,31.84,25.48,0.027,5.598,0.05752400,chl,0.05800000,0.01355200,0.01068800,0.00668700,0.00363300,0.00161300,0.00019800
5037,32.17090000,-64.50880000,2003-02-22 17:40:00,bats173,S2003053160322.L2_MLAC.R0000020464_32N_32N_64W_64W.hdf_OCVAL.nc_bats173_5037_B5.tgz,0.00000000,25,-5119,42.54,55.35,0.024,8.808,0.18104900,chl,0.38200000,0.00639800,0.00536600,0.00430400,0.00284000,0.00151000,0.00017900
5234,32.24060000,-64.24910000,2003-04-02 17:07:00,bats174a,S2003092162315.L2_MLAC.R0000020467_32N_32N_64W_64W.hdf_OCVAL.nc_bats174a_5234_B5.tgz,0.00000000,25,-1720,27.60,28.77,0.014,6.883,0.15744000,chl,0.26899999,0.00708400,0.00615700,0.00470200,0.00309200,0.00157700,0.00017700
5238,32.17140000,-64.49260000,2003-04-04 16:27:00,bats174a,S2003094160631.L2_MLAC.R0000020467_32N_32N_64W_64W.hdf_OCVAL.nc_bats174a_5238_B5.tgz,0.00000000,25,-302,26.46,49.14,0.036,6.779,0.13945100,chl,0.14399999,0.00794100,0.00692500,0.00531200,0.00333700,0.00169100,0.00019400
5866,32.15680000,-64.01710000,2003-07-17 16:51:00,bats178,S2003198162534.L2_MLAC.R0000020471_32N_32N_64W_64W.hdf_OCVAL.nc_bats178_5866_B5.tgz,0.00000000,25,-359,12.09,23.40,0.008,1.353,0.03950400,chl,0.04200000,0.01515500,0.01190100,0.00689700,0.00337000,0.00132000,0.00005500
5872,32.15720000,-64.50120000,2003-08-13 14:16:00,bats179,S2003225164820.L2_MLAC.R0000020472_32N_32N_64W_64W.hdf_OCVAL.nc_bats179_5872_B5.tgz,0.00000000,25,10189,20.06,33.91,0.011,6.505,0.04280800,chl,0.04300000,0.01476400,0.01190900,0.00713500,0.00364300,0.00153000,0.00014600
6196,32.16490000,-64.50130000,2003-11-03 16:29:00,bats182,S2003307165928.L2_MLAC.R0000020475_bats182_6196.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,2345,49.87,34.53,0.045,6.957,0.10190400,chl,0.13800000,0.00973100,0.00804400,0.00573900,0.00342800,0.00162600,0.00021300
6200,32.06940000,-64.59140000,2003-11-05 15:47:00,bats182,S2003309164213.L2_MLAC.R0000020475_bats182_6200.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,3863,49.21,22.31,0.135,6.095,0.12789800,chl,0.12800001,0.00820300,0.00680800,0.00500700,0.00295600,0.00150700,0.00029400
6202,32.14800000,-64.56630000,2003-11-07 14:59:00,bats182,S2003311162530.L2_MLAC.R0000020475_bats182_6202.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,5736,49.07,40.24,0.055,5.152,0.09768500,chl,0.13699999,0.01047900,0.00869700,0.00636500,0.00388800,0.00181600,0.00029200
6203,32.15160000,-64.54910000,2003-12-01 17:22:00,bats183,S2003335162105.L2_MLAC.R0000020476_bats183_6203.hdf_OCVAL.nc_valtarg_B5.tgz,0.00000000,25,-3186,54.21,47.25,0.029,1.360,0.06958300,chl,0.11900000,0.01215700,0.00981500,0.00635300,0.00357000,0.00152600,0.00012400
